代码全称,代码,名称,最新价,涨跌额,涨跌幅%,今开,最高,最低,昨收,成交量(股),成交额,换手率%,市盈率,市净率,总市值(万),流通市值(万),行情时间,交易日期,数据来源
bj920047,920047,诺思兰德,14.870,0.26,1.78,14.680,15.080,14.600,14.610,2912615,43385659,1.61716,-74.35,16.341,407842.425338,267818.256949,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920050,920050,爱伦医疗,28.340,0.66,2.384,27.640,28.470,27.640,27.680,175186,4945323,0.96774,15.319,1.83,191803.232556,51302.912934,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920055,920055,隆源股份,25.810,0.6,2.38,25.380,25.880,25.220,25.210,418518,10731016,2.73541,9.218,1.443,175508,39489.3,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920056,920056,能之光,14.340,0.42,3.017,14.000,14.340,14.000,13.920,559749,7936444,1.17448,18.385,2.173,117145.8978,68343.502164,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920057,920057,百甲科技,4.700,0.05,1.075,4.630,4.720,4.630,4.650,969583,4535698,0.83203,94,1.19,85193.74959,54770.20215,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920058,920058,华洋赛车,27.260,0.24,0.888,27.010,28.500,27.010,27.020,567188,15753554,2.05545,29.63,4.433,152808.95586,75222.301688,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920059,920059,双英集团,12.870,0.6,4.89,12.330,13.240,12.330,12.270,5434258,69880902,16.81479,11.289,1.828,195734.99088,41593.685562,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920060,920060,万源通,28.900,1.2,4.332,28.200,29.140,26.900,27.700,8136820,225610080,8.58095,35.235,4.269,439409.07607,274042.14608,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920061,920061,西磁科技,17.080,0.4,2.398,16.680,17.100,16.680,16.680,556212,9451556,1.41298,284.667,4.357,120909.32,67234.3952,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920062,920062,科润智控,7.160,0.08,1.13,7.140,7.220,7.110,7.080,983811,7056492,0.74046,89.5,1.813,135113.694332,95130.60968,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920065,920065,千岸科技,38.720,3.44,9.751,35.880,40.900,34.700,35.280,7092630,270177791,45.03257,12.821,3.523,349448,60984,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920066,920066,科拜尔,18.100,0.58,3.311,17.540,18.150,17.530,17.520,328771,5912310,1.65433,40.222,2.738,113764.52006,35970.72006,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920068,920068,天工股份,15.620,0.2,1.297,15.460,15.640,15.440,15.420,580810,9026687,0.33441,70.36,7.969,1024047.22343,271292.125918,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920069,920069,普昂医疗,32.490,0.8,2.524,32.080,32.550,31.720,31.690,332224,10728347,2.25138,15.325,2.165,171936.521172,47943.676809,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
bj920071,920071,金钛股份,27.220,1.71,6.703,25.800,28.090,25.500,25.510,13433920,358462424,42.64737,29.112,3.586,694110,85743,15:30:01,2026-09-18,sina Market_Center.getHQNodeData node=hs_a
